Power_values(W),Z_0.010W,OA_0.010W,CA_0.010W,Z_0.015W,OA_0.015W,CA_0.015W,Z_0.025W,OA_0.025W,CA_0.025W,Z_0.050W,OA_0.050W,CA_0.050W,Z_0.075W,OA_0.075W,CA_0.075W,Z_0.100W,OA_0.100W,CA_0.100W,Z_0.125W,OA_0.125W,CA_0.125W,Z_0.150W,OA_0.150W,CA_0.150W,Z_0.175W,OA_0.175W,CA_0.175W,Z_0.200W,OA_0.200W,CA_0.200W,Z_0.225W,OA_0.225W,CA_0.225W,Z_0.250W,OA_0.250W,CA_0.250W
0.01,0,0.0049113,0.0022627,0,0.0073483,0.0033051,0,0.012295,0.0056069,0,0.024801,0.011264,0,0.037787,0.015805,0,0.049408,0.022846,0,0.063317,0.011973,0,0.076186,0.034824,0,0.088352,0.040944,0,0.098605,0.042651,0,0.1108,0.046896,0,0.12265,0.050551
0.015,0.1,0.0049115,0.002263,0.1,0.0073482,0.0033009,0.1,0.012294,0.0056113,0.1,0.024802,0.011263,0.1,0.037787,0.0158,0.1,0.049407,0.022839,0.1,0.063329,0.011977,0.1,0.076192,0.03485,0.1,0.088338,0.040863,0.1,0.098609,0.042493,0.1,0.11081,0.046935,0.1,0.12266,0.050575
0.025,0.2,0.0049113,0.002261,0.2,0.0073487,0.003296,0.2,0.012294,0.0056127,0.2,0.024801,0.011271,0.2,0.037787,0.015797,0.2,0.04941,0.02285,0.2,0.063322,0.011961,0.2,0.076186,0.034914,0.2,0.088328,0.040889,0.2,0.098612,0.042503,0.2,0.11082,0.046913,0.2,0.12268,0.050597
0.05,0.3,0.0049109,0.0022597,0.3,0.0073491,0.0032979,0.3,0.012293,0.0056228,0.3,0.024799,0.011257,0.3,0.037789,0.015779,0.3,0.049412,0.022822,0.3,0.063319,0.011953,0.3,0.07618,0.034889,0.3,0.088324,0.0409,0.3,0.098615,0.042526,0.3,0.11083,0.046921,0.3,0.12268,0.050447
0.075,0.4,0.0049108,0.0022622,0.4,0.007349,0.0032923,0.4,0.012292,0.005611,0.4,0.024799,0.011237,0.4,0.03779,0.015802,0.4,0.049413,0.022826,0.4,0.063308,0.011984,0.4,0.076172,0.034886,0.4,0.088317,0.040869,0.4,0.098619,0.042484,0.4,0.11084,0.046894,0.4,0.12269,0.050579
0.1,0.5,0.0049111,0.00226,0.5,0.0073489,0.003295,0.5,0.012292,0.0056132,0.5,0.024798,0.01124,0.5,0.03779,0.015798,0.5,0.049416,0.022844,0.5,0.063308,0.011982,0.5,0.076164,0.034899,0.5,0.088303,0.040877,0.5,0.098621,0.042611,0.5,0.11085,0.046843,0.5,0.1227,0.050596
0.125,0.6,0.0049113,0.0022582,0.6,0.0073483,0.0032933,0.6,0.012292,0.0056057,0.6,0.024796,0.011244,0.6,0.03779,0.015798,0.6,0.049415,0.022812,0.6,0.063305,0.011975,0.6,0.07616,0.034851,0.6,0.088293,0.040841,0.6,0.098623,0.042512,0.6,0.11086,0.046905,0.6,0.1227,0.050568
0.15,0.7,0.0049114,0.0022569,0.7,0.0073483,0.0032936,0.7,0.012292,0.0056004,0.7,0.024796,0.011236,0.7,0.037791,0.015774,0.7,0.049416,0.022832,0.7,0.063296,0.011988,0.7,0.076151,0.034886,0.7,0.088288,0.040852,0.7,0.098625,0.0425,0.7,0.11087,0.04691,0.7,0.12271,0.050614
0.175,0.8,0.0049115,0.0022561,0.8,0.0073477,0.0032929,0.8,0.012292,0.0056024,0.8,0.024796,0.011228,0.8,0.037793,0.015779,0.8,0.049414,0.022836,0.8,0.063292,0.011963,0.8,0.076138,0.034867,0.8,0.088279,0.040811,0.8,0.098626,0.042515,0.8,0.11088,0.046896,0.8,0.12271,0.050562
0.2,0.9,0.0049115,0.0022549,0.9,0.0073475,0.0032982,0.9,0.012292,0.0055985,0.9,0.024795,0.011214,0.9,0.037794,0.015779,0.9,0.049414,0.022821,0.9,0.063289,0.011966,0.9,0.076133,0.034862,0.9,0.088275,0.04079,0.9,0.098627,0.042442,0.9,0.11088,0.04684,0.9,0.12272,0.050524
0.225,1,0.0049116,0.0022547,1,0.0073476,0.0032986,1,0.012292,0.0055945,1,0.024793,0.011214,1,0.037795,0.015781,1,0.049412,0.022838,1,0.063283,0.011979,1,0.076125,0.034825,1,0.088271,0.040817,1,0.098627,0.04256,1,0.11088,0.046909,1,0.12273,0.050583
0.25,1.1,0.0049113,0.002255,1.1,0.0073476,0.0032979,1.1,0.012291,0.0055839,1.1,0.024792,0.011199,1.1,0.037796,0.015789,1.1,0.049413,0.022829,1.1,0.063275,0.011964,1.1,0.076115,0.034876,1.1,0.088263,0.040758,1.1,0.098629,0.042525,1.1,0.11089,0.046881,1.1,0.12273,0.05057
,1.2,0.0049109,0.0022485,1.2,0.0073473,0.0032972,1.2,0.012291,0.0055828,1.2,0.024792,0.0112,1.2,0.037797,0.015783,1.2,0.049414,0.022831,1.2,0.06327,0.011964,1.2,0.076109,0.034895,1.2,0.088252,0.040782,1.2,0.098628,0.042456,1.2,0.11089,0.046916,1.2,0.12274,0.050666
,1.3,0.0049105,0.0022547,1.3,0.0073467,0.0032928,1.3,0.01229,0.0055895,1.3,0.024791,0.0112,1.3,0.037798,0.015774,1.3,0.049415,0.022826,1.3,0.063258,0.011943,1.3,0.0761,0.03483,1.3,0.088245,0.040745,1.3,0.098624,0.042516,1.3,0.1109,0.046897,1.3,0.12275,0.050649
,1.4,0.0049099,0.0022561,1.4,0.0073464,0.0032917,1.4,0.01229,0.005585,1.4,0.02479,0.011198,1.4,0.0378,0.015769,1.4,0.049412,0.022828,1.4,0.063248,0.011933,1.4,0.076097,0.034844,1.4,0.088238,0.040749,1.4,0.098623,0.042496,1.4,0.11091,0.046931,1.4,0.12275,0.050642
,1.5,0.0049093,0.0022535,1.5,0.0073462,0.0032859,1.5,0.01229,0.0055904,1.5,0.024788,0.011189,1.5,0.0378,0.015773,1.5,0.049411,0.022849,1.5,0.063245,0.011927,1.5,0.07609,0.034864,1.5,0.088236,0.040764,1.5,0.098624,0.042452,1.5,0.11091,0.046876,1.5,0.12275,0.050579
,1.6,0.0049087,0.0022513,1.6,0.0073461,0.0032862,1.6,0.01229,0.0055839,1.6,0.024787,0.011192,1.6,0.037801,0.015764,1.6,0.049411,0.022833,1.6,0.063236,0.011927,1.6,0.076083,0.034849,1.6,0.088226,0.040724,1.6,0.098623,0.042488,1.6,0.11091,0.046813,1.6,0.12275,0.050661
,1.7,0.0049082,0.0022479,1.7,0.0073455,0.0032799,1.7,0.012289,0.0055828,1.7,0.024786,0.011187,1.7,0.037802,0.015768,1.7,0.049409,0.022831,1.7,0.063234,0.011916,1.7,0.076078,0.034816,1.7,0.088218,0.040767,1.7,0.098622,0.042502,1.7,0.11092,0.046898,1.7,0.12274,0.050659
,1.8,0.0049079,0.0022517,1.8,0.0073448,0.0032815,1.8,0.012289,0.0055842,1.8,0.024784,0.011192,1.8,0.037803,0.015757,1.8,0.049409,0.022842,1.8,0.06323,0.011879,1.8,0.076068,0.034819,1.8,0.088201,0.040701,1.8,0.098622,0.042527,1.8,0.11092,0.046929,1.8,0.12274,0.050673
,1.9,0.0049072,0.0022485,1.9,0.0073448,0.0032798,1.9,0.012288,0.0055829,1.9,0.024783,0.011194,1.9,0.037802,0.015738,1.9,0.049409,0.022851,1.9,0.063222,0.011879,1.9,0.076057,0.034889,1.9,0.088191,0.040732,1.9,0.098622,0.042456,1.9,0.11092,0.04695,1.9,0.12275,0.050701
,2,0.0049068,0.00225,2,0.0073449,0.0032796,2,0.012288,0.0055817,2,0.024782,0.011198,2,0.037802,0.015748,2,0.04941,0.022847,2,0.063217,0.011876,2,0.076045,0.034832,2,0.088177,0.040626,2,0.098624,0.042483,2,0.11093,0.046875,2,0.12275,0.050726
,2.1,0.0049067,0.0022506,2.1,0.0073447,0.0032863,2.1,0.012288,0.0055676,2.1,0.02478,0.011184,2.1,0.037801,0.015756,2.1,0.04941,0.022816,2.1,0.063209,0.011881,2.1,0.076048,0.034779,2.1,0.088163,0.040664,2.1,0.098625,0.042475,2.1,0.11093,0.046888,2.1,0.12275,0.050605
,2.2,0.0049067,0.0022497,2.2,0.0073444,0.0032781,2.2,0.012288,0.0055708,2.2,0.024779,0.011184,2.2,0.037802,0.015754,2.2,0.049409,0.022832,2.2,0.063201,0.011851,2.2,0.076043,0.034786,2.2,0.088158,0.040647,2.2,0.098624,0.042475,2.2,0.11093,0.046946,2.2,0.12274,0.050586
,2.3,0.0049069,0.0022518,2.3,0.0073447,0.0032777,2.3,0.012287,0.0055635,2.3,0.024778,0.011172,2.3,0.037803,0.015742,2.3,0.049409,0.022872,2.3,0.063198,0.011847,2.3,0.076035,0.034808,2.3,0.088148,0.040624,2.3,0.098624,0.042498,2.3,0.11093,0.046976,2.3,0.12274,0.050599
,2.4,0.0049072,0.0022481,2.4,0.0073448,0.0032822,2.4,0.012286,0.0055628,2.4,0.024776,0.011193,2.4,0.037805,0.015731,2.4,0.049409,0.022858,2.4,0.063191,0.011837,2.4,0.07603,0.034849,2.4,0.088144,0.040615,2.4,0.098623,0.042482,2.4,0.11093,0.046886,2.4,0.12274,0.050496
,2.5,0.0049072,0.0022468,2.5,0.0073445,0.003277,2.5,0.012286,0.0055624,2.5,0.024773,0.011173,2.5,0.037806,0.015738,2.5,0.049408,0.022846,2.5,0.063184,0.011828,2.5,0.076023,0.034851,2.5,0.088134,0.040633,2.5,0.098623,0.042437,2.5,0.11093,0.046819,2.5,0.12274,0.050625
,2.6,0.0049072,0.0022445,2.6,0.0073441,0.0032801,2.6,0.012285,0.0055644,2.6,0.024771,0.011157,2.6,0.037808,0.015724,2.6,0.049409,0.022797,2.6,0.063182,0.01182,2.6,0.07601,0.034818,2.6,0.08812,0.040515,2.6,0.098622,0.042392,2.6,0.11093,0.0469,2.6,0.12274,0.050576
,2.7,0.0049071,0.0022444,2.7,0.0073442,0.0032806,2.7,0.012284,0.0055595,2.7,0.024769,0.011159,2.7,0.037809,0.015751,2.7,0.049408,0.022825,2.7,0.063171,0.011794,2.7,0.076002,0.034864,2.7,0.088107,0.040565,2.7,0.098622,0.042397,2.7,0.11093,0.046863,2.7,0.12273,0.050556
,2.8,0.0049071,0.0022436,2.8,0.0073444,0.0032792,2.8,0.012283,0.005556,2.8,0.024768,0.011166,2.8,0.037807,0.015735,2.8,0.049407,0.02285,2.8,0.063166,0.011795,2.8,0.075994,0.034878,2.8,0.0881,0.040548,2.8,0.098622,0.042425,2.8,0.11092,0.046816,2.8,0.12274,0.050588
,2.9,0.0049073,0.0022426,2.9,0.0073446,0.0032846,2.9,0.012282,0.005552,2.9,0.024767,0.011182,2.9,0.037806,0.015738,2.9,0.049409,0.02283,2.9,0.063163,0.011785,2.9,0.075984,0.034869,2.9,0.088085,0.040512,2.9,0.098622,0.042459,2.9,0.11093,0.046867,2.9,0.12273,0.050452
,3,0.0049075,0.0022434,3,0.0073446,0.0032802,3,0.012282,0.005548,3,0.024766,0.011187,3,0.037807,0.015714,3,0.04941,0.02282,3,0.063158,0.011775,3,0.07598,0.034852,3,0.088075,0.040465,3,0.098621,0.042444,3,0.11092,0.046894,3,0.12273,0.05053
,3.1,0.0049076,0.0022418,3.1,0.0073447,0.0032839,3.1,0.012281,0.0055556,3.1,0.024766,0.011188,3.1,0.037809,0.015751,3.1,0.04941,0.022807,3.1,0.063147,0.011797,3.1,0.075971,0.034879,3.1,0.088063,0.040471,3.1,0.098619,0.042457,3.1,0.11092,0.046868,3.1,0.12274,0.050475
,3.2,0.0049075,0.0022417,3.2,0.0073444,0.0032769,3.2,0.01228,0.0055546,3.2,0.024764,0.011173,3.2,0.037809,0.015734,3.2,0.04941,0.022812,3.2,0.063143,0.011793,3.2,0.075963,0.034854,3.2,0.088045,0.040433,3.2,0.098619,0.042454,3.2,0.11092,0.046873,3.2,0.12273,0.050499
,3.3,0.0049072,0.0022419,3.3,0.0073442,0.0032798,3.3,0.01228,0.0055582,3.3,0.024764,0.011184,3.3,0.037809,0.015733,3.3,0.04941,0.022785,3.3,0.063142,0.011778,3.3,0.075958,0.034825,3.3,0.088042,0.040511,3.3,0.098615,0.042558,3.3,0.11092,0.046791,3.3,0.12272,0.050555
,3.4,0.0049073,0.0022392,3.4,0.007344,0.0032831,3.4,0.01228,0.0055614,3.4,0.024763,0.011183,3.4,0.03781,0.015752,3.4,0.049409,0.022795,3.4,0.063135,0.011746,3.4,0.075946,0.034784,3.4,0.088036,0.040506,3.4,0.098611,0.04249,3.4,0.11091,0.046847,3.4,0.12272,0.050483
,3.5,0.0049073,0.002239,3.5,0.0073439,0.0032848,3.5,0.012279,0.0055583,3.5,0.024762,0.011182,3.5,0.037809,0.015745,3.5,0.04941,0.022814,3.5,0.063131,0.011744,3.5,0.075942,0.034829,3.5,0.088029,0.04051,3.5,0.09861,0.042483,3.5,0.11091,0.046878,3.5,0.12272,0.050507
,3.6,0.0049075,0.0022377,3.6,0.0073439,0.0032893,3.6,0.012279,0.005553,3.6,0.02476,0.01119,3.6,0.037809,0.01573,3.6,0.049408,0.022816,3.6,0.063129,0.01175,3.6,0.075935,0.034842,3.6,0.08802,0.040452,3.6,0.098607,0.042492,3.6,0.11091,0.046814,3.6,0.12272,0.050489
,3.7,0.0049074,0.0022376,3.7,0.007344,0.0032849,3.7,0.012278,0.0055512,3.7,0.024759,0.011184,3.7,0.037808,0.015741,3.7,0.049407,0.022826,3.7,0.063119,0.011751,3.7,0.075933,0.034811,3.7,0.088007,0.040423,3.7,0.098604,0.042535,3.7,0.1109,0.04686,3.7,0.12271,0.050423
,3.8,0.0049075,0.0022412,3.8,0.0073437,0.0032895,3.8,0.012277,0.0055569,3.8,0.024758,0.01118,3.8,0.037808,0.015748,3.8,0.049405,0.022858,3.8,0.063119,0.011771,3.8,0.075925,0.034788,3.8,0.087995,0.040499,3.8,0.098604,0.04253,3.8,0.1109,0.046866,3.8,0.12271,0.050438
,3.9,0.0049074,0.0022404,3.9,0.0073437,0.0032888,3.9,0.012277,0.0055577,3.9,0.024757,0.011168,3.9,0.037808,0.015747,3.9,0.049405,0.022876,3.9,0.06311,0.011769,3.9,0.075915,0.034797,3.9,0.087987,0.040523,3.9,0.098601,0.042538,3.9,0.11089,0.046847,3.9,0.1227,0.050631
,4,0.0049073,0.0022411,4,0.0073439,0.0032816,4,0.012277,0.0055608,4,0.024756,0.011153,4,0.03781,0.015731,4,0.049405,0.022873,4,0.063106,0.011762,4,0.075907,0.034808,4,0.087977,0.040449,4,0.0986,0.042535,4,0.11089,0.046772,4,0.1227,0.050461
,4.1,0.0049073,0.0022404,4.1,0.0073439,0.0032843,4.1,0.012277,0.0055562,4.1,0.024755,0.011172,4.1,0.03781,0.015747,4.1,0.049405,0.022866,4.1,0.063101,0.01174,4.1,0.075907,0.034796,4.1,0.087968,0.040414,4.1,0.098598,0.042533,4.1,0.11088,0.046794,4.1,0.1227,0.050455
,4.2,0.0049075,0.0022424,4.2,0.0073438,0.0032822,4.2,0.012276,0.0055552,4.2,0.024754,0.011181,4.2,0.037812,0.015742,4.2,0.049405,0.022879,4.2,0.063096,0.011736,4.2,0.075898,0.034825,4.2,0.087965,0.040465,4.2,0.098596,0.042576,4.2,0.11088,0.046838,4.2,0.1227,0.050494
,4.3,0.0049077,0.0022434,4.3,0.0073434,0.0032821,4.3,0.012276,0.005563,4.3,0.024753,0.01119,4.3,0.037813,0.015755,4.3,0.049406,0.022873,4.3,0.063087,0.011712,4.3,0.075888,0.034856,4.3,0.087953,0.040436,4.3,0.098595,0.042586,4.3,0.11088,0.04682,4.3,0.12269,0.050537
,4.4,0.0049075,0.0022403,4.4,0.0073432,0.0032805,4.4,0.012275,0.0055686,4.4,0.024751,0.011188,4.4,0.037813,0.015765,4.4,0.049407,0.022914,4.4,0.063083,0.011715,4.4,0.075881,0.034827,4.4,0.087943,0.040467,4.4,0.098592,0.042594,4.4,0.11087,0.046845,4.4,0.12268,0.050518
,4.5,0.004907,0.0022419,4.5,0.0073432,0.0032844,4.5,0.012274,0.0055625,4.5,0.024749,0.011193,4.5,0.037815,0.015758,4.5,0.049408,0.022854,4.5,0.063082,0.01169,4.5,0.075875,0.034792,4.5,0.08794,0.040384,4.5,0.098587,0.042584,4.5,0.11087,0.046829,4.5,0.12268,0.05048
,4.6,0.0049065,0.0022404,4.6,0.0073431,0.0032704,4.6,0.012274,0.0055641,4.6,0.024748,0.011187,4.6,0.037816,0.015748,4.6,0.049409,0.022861,4.6,0.063072,0.011689,4.6,0.075867,0.034831,4.6,0.087919,0.040345,4.6,0.098584,0.042552,4.6,0.11086,0.046817,4.6,0.12267,0.050531
,4.7,0.0049057,0.0022387,4.7,0.0073429,0.0032778,4.7,0.012273,0.0055732,4.7,0.024745,0.011173,4.7,0.037817,0.015747,4.7,0.049408,0.022859,4.7,0.063072,0.011701,4.7,0.075865,0.034848,4.7,0.087908,0.040338,4.7,0.098579,0.042469,4.7,0.11085,0.046832,4.7,0.12266,0.050524
,4.8,0.0049049,0.0022408,4.8,0.0073426,0.003276,4.8,0.012271,0.0055719,4.8,0.024744,0.011161,4.8,0.037817,0.015722,4.8,0.049407,0.022875,4.8,0.063059,0.01169,4.8,0.075848,0.034859,4.8,0.087903,0.040332,4.8,0.098572,0.042474,4.8,0.11085,0.046778,4.8,0.12265,0.050506
,4.9,0.0049045,0.002241,4.9,0.0073425,0.003269,4.9,0.01227,0.005569,4.9,0.024742,0.01117,4.9,0.037817,0.015744,4.9,0.049406,0.022864,4.9,0.06305,0.0117,4.9,0.075844,0.034815,4.9,0.087893,0.040338,4.9,0.098564,0.042452,4.9,0.11085,0.046716,4.9,0.12265,0.050482
,5,0.0049042,0.0022422,5,0.0073423,0.0032679,5,0.012269,0.0055589,5,0.02474,0.011161,5,0.037817,0.015724,5,0.049404,0.022822,5,0.063045,0.011704,5,0.075835,0.034775,5,0.087891,0.040354,5,0.098559,0.042481,5,0.11084,0.046907,5,0.12265,0.050517
,5.1,0.0049038,0.0022447,5.1,0.0073418,0.0032738,5.1,0.012268,0.0055627,5.1,0.024738,0.011171,5.1,0.037817,0.015747,5.1,0.049402,0.022867,5.1,0.063036,0.011679,5.1,0.075827,0.034796,5.1,0.087878,0.040356,5.1,0.098554,0.042507,5.1,0.11084,0.046934,5.1,0.12264,0.050524
,5.2,0.0049036,0.0022438,5.2,0.0073414,0.0032714,5.2,0.012268,0.0055613,5.2,0.024735,0.01116,5.2,0.037817,0.015745,5.2,0.049401,0.022873,5.2,0.063035,0.01165,5.2,0.075814,0.034736,5.2,0.087863,0.040285,5.2,0.098548,0.04245,5.2,0.11083,0.046868,5.2,0.12263,0.050441
,5.3,0.0049033,0.0022466,5.3,0.0073413,0.0032718,5.3,0.012267,0.0055554,5.3,0.024733,0.011163,5.3,0.037818,0.015726,5.3,0.0494,0.022877,5.3,0.063028,0.011649,5.3,0.075808,0.034754,5.3,0.087855,0.040267,5.3,0.098543,0.042444,5.3,0.11082,0.046881,5.3,0.12261,0.050523
,5.4,0.0049033,0.0022453,5.4,0.007341,0.0032744,5.4,0.012267,0.0055599,5.4,0.024732,0.011171,5.4,0.037819,0.015733,5.4,0.049399,0.022878,5.4,0.063025,0.011632,5.4,0.075802,0.034707,5.4,0.087845,0.04022,5.4,0.098538,0.042384,5.4,0.11081,0.046845,5.4,0.1226,0.050516
,5.5,0.004903,0.0022456,5.5,0.0073404,0.0032648,5.5,0.012268,0.0055592,5.5,0.024731,0.011179,5.5,0.037818,0.015726,5.5,0.049396,0.022904,5.5,0.063017,0.011647,5.5,0.075794,0.034747,5.5,0.087831,0.040241,5.5,0.09853,0.042382,5.5,0.1108,0.046842,5.5,0.12258,0.050462
